競馬場ID,国名ID,国名,競馬場名,競馬場名詳細
ZG32,ZG,,MARKET RASEN,MARKET RASEN
ZS86,ZS,,MARONAS,MARONAS
0610,FR,FR,MAR.BORELY,MARSEILLE BORELY
0609,FR,FR,MAR.P VIVAUX,MARSEILLE PONT DE VIVAUX
9910,FR,FR,LA MARTINIQUE,LA MARTINIQUE
0132,FR,FR,MATIGNON,MATIGNON
0133,FR,FR,MAURE/BRETAGNE,MAURE-DE-BRETAGNE
0134,FR,FR,MAURON,MAURON
ZU17,ZU,,MEADOWLANDS,MEADOWLANDS
ZD37,ZD,,MEISSENHEIM,MEISSENHEIM
ZFM2,ZF,,MEKNES (MAR),MEKNES (MAR)
0225,FR,FR,MERAL,MERAL
ZL05,ZL,,MERANO,MERANO
0226,FR,FR,MESLAY-DU-MAINE,MESLAY-DU-MAINE
ZF88,ZF,,MEYDAN,MEYDAN
ZU59,ZU,,MIDDLEBURG,MIDDLEBURG
ZD33,ZD,,MIESAU,MIESAU
ZE08,ZE,,MIJAS,MIJAS
ZL06,ZL,,MILAN,MILAN
ZU73,ZU,,MINERAL SPRINGS,MINERAL SPRINGS
ZJ11,ZJ,,MIZUSAWA,MIZUSAWA
0227,FR,FR,MOLIERES,MOLIERES
0247,FR,FR,MONDOUBLEAU,MONDOUBLEAU
ZU25,ZU,,MONMOUTH PARK,MONMOUTH PARK
0551,FR,FR,MONPAZIER,MONPAZIER
ZB06,ZB,,MONS-GHLIN,MONS-GHLIN
0135,FR,FR,MONTAIGU,MONTAIGU
0535,FR,FR,MONTAUBAN,MONTAUBAN
0536,FR,FR,MONT-DE-MARSAN,MONT-DE-MARSAN
0537,FR,FR,MONTENDRE,MONTENDRE
0902,FR,FR,MONTIER-EN-DER,MONTIER-EN-DER
0538,FR,FR,MONTIGNAC,MONTIGNAC
0715,FR,FR,MONTLUCON,MONTLUCON
0248,FR,FR,MONTMIRAIL,MONTMIRAIL
ZU75,ZU,,MONTPELIER,MONTPELIER
0228,FR,FR,MONTREVAULT,MONTREVAULT
ZA02,ZA,,MOONEE VALLEY,MOONEE VALLEY
ZJ20,ZJ,,MORIOKA,MORIOKA
0136,FR,FR,MORLAIX,MORLAIX
ZA13,ZA,,MORPHETTVILLE,MORPHETTVILLE
0317,FR,FR,MORTAGNE AU PERCHE,MORTAGNE AU PERCHE
ZQ93,ZQ,,MOSCOU,MOSCOU
ZQ07,ZQ,,MOST (REPUB.TCHEQUE),MOST (REPUB.TCHEQUE)
0716,FR,FR,MOULINS,MOULINS
0725,FR,FR,MOULINS MIDI,MOULINS MIDI
0318,FR,FR,MOULINS-LA-MARCHE,MOULINS-LA-MARCHE
ZU65,ZU,,MOUNTAINEER PARK,MOUNTAINEER PARK
ZD13,ZD,,MULHEIM,MULHEIM
ZD14,ZD,GER,MUNICH-RIEM (Allemagne),MUNICH-RIEM (Allemagne)
ZG63,ZG,,MUSSELBURGH (GB),MUSSELBURGH (GB)
ZI11,ZI,,NAAS,NAAS
ZF98,ZF,,NAD AL SHEBA,NAD AL SHEBA
ZJ24,ZJ,,NAGOYA,NAGOYA
ZJ23,ZJ,,NAKATSU,NAKATSU
ZJ03,ZJ,,NAKAYAMA,NAKAYAMA
zru5,zr,,naltchik,naltchik
0903,FR,FR,NANCY,NANCY
0910,FR,FR,NANCY MIDI,NANCY MIDI
0137,FR,FR,NANTES,NANTES
0170,FR,FR,NANTES MIDI,NANTES MIDI
ZL07,ZL,,NAPLES,NAPLES
ZU70,ZU,,NASHVILLE,NASHVILLE
ZI12,ZI,,NAVAN,NAVAN
NC,NC,,NC,NC
0415,FR,FR,NEUFCHATEL-EN-BRAYE,NEUFCHATEL-EN-BRAYE
0229,FR,FR,NEUILLE-PONT-PIERRE,NEUILLE-PONT-PIERRE
ZD15,ZD,,NEUSS,NEUSS
ZU72,ZU,,NEW KENT,NEW KENT
ZG33,ZG,,NEWBURY,NEWBURY
ZA08,ZA,,NEWCASTLE (AUS),NEWCASTLE (AUS)
ZG34,ZG,,NEWCASTLE (GBR),NEWCASTLE (GBR)
ZG35,ZG,,NEWMARKET (GBR),NEWMARKET (GBR)
ZF17,ZF,,NEWMARKET (ZAF),NEWMARKET (ZAF)
ZG64,ZG,,NEWMARKET JULY,NEWMARKET JULY
ZG36,ZG,,NEWTON ABBOT,NEWTON ABBOT
ZJ13,ZJ,,NIIGATA,NIIGATA
0614,FR,FR,NIMES,NIMES
0138,FR,FR,NIORT,NIORT
ZC04,ZC,,NORTHLANDS PARK,NORTHLANDS PARK
0139,FR,FR,NORT-SUR-ERDRE,NORT-SUR-ERDRE
ZG37,ZG,,NOTTINGHAM,NOTTINGHAM
9930,FR,FR,NOUVELLE CALEDONIE,NOUVELLE CALEDONIE
ZL13,ZL,,NOVI,NOVI
0140,FR,FR,NOZAY,NOZAY
0249,FR,FR,NUEIL-SUR-LAYON,NUEIL-SUR-LAYON
0230,FR,FR,NUILLE / VICOIN,NUILLE-SUR-VICOIN
zk04,zk,,nurdaulet,nurdaulet
ZA03,ZA,,OAKBANK,OAKBANK
ZU24,ZU,,OAKLAWN PARK,OAKLAWN PARK
ZU46,ZU,,OCALA,OCALA
ZN05,ZN,,ODENSE,ODENSE
zqzq,zq,,odessa,odessa
ZJ15,ZJ,,OGURA,OGURA
ZJ21,ZJ,,OI,OI
0611,FR,FR,ORAISON,ORAISON
0612,FR,FR,ORANGE,ORANGE
ZE15,ZE,,ORENSE,ORENSE
0411,FR,FR,ORLEANS,ORLEANS
ZB03,ZB,,OSTENDE,OSTENDE
ZE09,ZE,,OVIEDO,OVIEDO
ZN02,ZN,,OVREVOLL,OVREVOLL
0717,FR,FR,PARAY-LE-MONIAL,PARAY-LE-MONIAL
ZQ01,ZQ,,PARDUBICE,PARDUBICE
0723,FR,FR,PARILLY MIDI,PARILLY MIDI
0001,FR,FR,PARISLONGCHAMP,PARISLONGCHAMP
0539,FR,FR,PAU,PAU
0586,FR,FR,PAU-MIDI,PAU-MIDI
ZU54,ZU,,PENN NATIONAL,PENN NATIONAL
ZG38,ZG,,PERTH,PERTH
ZU42,ZU,,PHILADELPHIA,PHILADELPHIA
ZI03,ZI,,PHOENIX PARK,PHOENIX PARK
ZRU1,ZR,,PIATIGORSK (RUS),PIATIGORSK (RUS)
ZU18,ZU,,PIMLICO,PIMLICO
ZL08,ZL,,PISE,PISE
ZU76,ZU,,PLEASANTON,PLEASANTON
0141,FR,FR,PLENEUF-VAL-ANDRE,PLENEUF-VAL-ANDRE
0142,FR,FR,PLESSE,PLESSE
0123,FR,FR,PLESTIN,PLESTIN-LES-GREVES
0143,FR,FR,PLOERMEL,PLOERMEL
0144,FR,FR,PLOUESCAT,PLOUESCAT
ZG39,ZG,,PLUMPTON,PLUMPTON
0231,FR,FR,POITIERS,POITIERS
0540,FR,FR,POMPADOUR,POMPADOUR
0541,FR,FR,PONS,PONS
0145,FR,FR,PONTCHATEAU,PONTCHATEAU
ZG40,ZG,,PONTEFRACT,PONTEFRACT
0146,FR,FR,PONTIVY,PONTIVY
0147,FR,FR,PORNICHET,PORNICHET
2054,FR,FR,PORTO VECCHIO,PORTO VECCHIO
ZI16,ZI,,POWERSTONE PARK,POWERSTONE PARK
ZQ02,ZQ,,PRAGUE (VELKA CHUCHLE),PRAGUE (VELKA CHUCHLE)
ZU56,ZU,,PRAIRIE MEADOWS,PRAIRIE MEADOWS
ZU80,ZU,,PRESQUE ISLE,PRESQUE ISLE
2055,FR,FR,PROPRIANO,PROPRIANO
2056,FR,FR,PRUNELLI,PRUNELLI DI FIUMORBO
ZI17,ZI,,PUNCHESTOWN,PUNCHESTOWN
ZD35,ZD,,QUAKENBRUCK,QUAKENBRUCK
0148,FR,FR,QUESTEMBERT,QUESTEMBERT
ZF02,ZF,,RABAT,RABAT
ZU67,ZU,,RAEFORD,RAEFORD
0412,FR,FR,RAMBOUILLET,RAMBOUILLET
ZF19,ZF,,RANDJESFONTEIN,RANDJESFONTEIN
ZA06,ZA,,RANDWICK,RANDWICK
0319,FR,FR,RANES,RANES
ZG41,ZG,,REDCAR,REDCAR
0149,FR,FR,REDON,REDON
ZU57,ZU,,REMINGTON PARK,REMINGTON PARK
ZU62,ZU,,RETAMA PARK,RETAMA PARK
0250,FR,FR,RICHELIEU,RICHELIEU
ZU37,ZU,,RILLITO,RILLITO
ZSA3,ZS,,RIO DE JANEIRO (BRZ),RIO DE JANEIRO (BRZ)
ZG42,ZG,,RIPON,RIPON
ZU32,ZU,,RIVER DOWNS,RIVER DOWNS
0232,FR,FR,ROCHEFORT/LOIRE,ROCHEFORT-SUR-LOIRE
0542,FR,FR,ROCHEFORT-SUR-MER,ROCHEFORT-SUR-MER
ZU29,ZU,,ROCKINGHAM PARK,ROCKINGHAM PARK
ZL09,ZL,,ROME,ROME
ZL19,ZL,,ROME (PMU),ROME (PMU)
ZI20,ZI,,ROSCOMMON,ROSCOMMON
ZA05,ZA,,ROSEHILL,ROSEHILL
ZRU2,ZR,,ROSTOV (RUS),ROSTOV (RUS)
0150,FR,FR,ROSTRENEN,ROSTRENEN
0413,FR,FR,ROUEN,ROUEN
0528,FR,FR,ROYAN,ROYAN LA PALMYRE
ZSAU,ZS,,RYAD,RYAD
ZD25,ZD,,SAARBRUCKEN,SAARBRUCKEN
0233,FR,FR,SABLE / SARTHE,SABLE-SUR-SARTHE
ZJ09,ZJ,,SAGA,SAGA
ZH11,ZH,,SAIGNELEGIER,SAIGNELEGIER
0330,FR,FR,SAINT HILAIRE DU HARCOUET,SAINT HILAIRE DU HARCOUET
ZH08,ZH,,SAINT MORITZ,SAINT MORITZ
0151,FR,FR,SAINT-BRIEUC,SAINT-BRIEUC
0004,FR,FR,SAINT-CLOUD,SAINT-CLOUD
0034,FR,FR,SAINT-CLOUD MIDI,SAINT-CLOUD MIDI
0234,FR,FR,SAINT-DENIS-DE-GASTINES,SAINT-DENIS-DE-GASTINES
0543,FR,FR,SAINTE LIVRADE SUR LOT,SAINTE LIVRADE SUR LOT
0544,FR,FR,SAINTES,SAINTES
0718,FR,FR,SAINT-GALMIER,SAINT-GALMIER
0152,FR,FR,ST-JEAN DE MONT,SAINT-JEAN-DE-MONTS
0384,FR,FR,SAINT-LO,SAINT-LO
0154,FR,FR,SAINT-MALO,SAINT-MALO
0153,FR,FR,SAINT-MAXIENT-L'ECOLE,SAINT-MAXIENT-L'ECOLE
0809,FR,FR,SAINT-OMER,SAINT-OMER
0235,FR,FR,SAINT-OUEN-DES-TOITS,SAINT-OUEN-DES-TOITS
0236,FR,FR,ST-PIERRE-LA-CO,SAINT-PIERRE-LA-COUR
0320,FR,FR,SAINT-PIERRE-SUR-DIVES,SAINT-PIERRE-SUR-DIVES
0155,FR,FR,SAINT-POL-DE-LEON,SAINT-POL-DE-LEON
0237,FR,FR,SAINT-SATURNIN-DU-LIMET,SAINT-SATURNIN-DU-LIMET
ZG43,ZG,,SALISBURY,SALISBURY
0625,FR,FR,SALON MIDI,SALON MIDI
0613,FR,FR,SALON PROVENCE,SALON-DE-PROVENCE
ZU64,ZU,,SAM HOUSTON,SAM HOUSTON
ZSA1,ZS,,SAN ISIDRO (ARG),SAN ISIDRO (ARG)
ZE02,ZE,,SAN SEBASTIAN,SAN SEBASTIAN
ZA04,ZA,,SANDOWN (AUS),SANDOWN (AUS)
ZG44,ZG,,SANDOWN (GBR),SANDOWN (GBR)
ZE05,ZE,,SANLUCAR,SANLUCAR
ZU19,ZU,,SANTA ANITA,SANTA ANITA
ZE07,ZE,,SANTANDER,SANTANDER
ZS88,ZS,,SANTIAGO (Chili),SANTIAGO (Chili)
ZJ04,ZJ,,SAPPORO,SAPPORO
ZU20,ZU,,SARATOGA,SARATOGA
2060,FR,FR,SARTENE,SARTENE
ZL15,ZL,,SASSARI,SASSARI
0238,FR,FR,SAUMUR,SAUMUR
0251,FR,FR,SAUMUR-LE-BREIL,SAUMUR-LE-BREIL
0156,FR,FR,SAVENAY,SAVENAY
ZF16,ZF,,SCOTTSVILLE,SCOTTSVILLE
ZG45,ZG,,SEDGEFIELD,SEDGEFIELD
0239,FR,FR,SEGRE,SEGRE
0240,FR,FR,SEICHES/LE-LOIR,SEICHES-SUR-LE-LOIR
0241,FR,FR,SENONNES,SENONNES-POUANCE
ZV98,ZV,,SEOUL (Corﾃｩe du Sud),SEOUL (Corﾃｩe du Sud)
2057,FR,FR,SERRA DI SCOPAMENE,SERRA DI SCOPAMENE
ZF01,ZF,,SETTAT (MAR),SETTAT (MAR)
ZE03,ZE,,SEVILLE,SEVILLE
ZK02,ZK,HK,SHA TIN,SHA TIN
ZF09,ZF,,SHARJAH,SHARJAH
ZL16,ZL,,SIENNE,SIENNE
0242,FR,FR,SILLE-LE-GUILLA,SILLE-LE-GUILLAUME
ZV91,ZV,,SINGAPOUR,SINGAPOUR
ZT02,ZT,,SIRINYER,SIRINYER
ZI22,ZI,,SLIGO,SLIGO
ZQ06,ZQ,,SLUSOVICE (REP.TCHEQUE),SLUSOVICE (REP.TCHEQUE)
ZP03,ZP,,SLUZEWIEC (VARSOVIE),SLUZEWIEC (VARSOVIE)
ZU41,ZU,,SOLANO,SOLANO
ZE11,ZE,,SOMO,SOMO
ZG46,ZG,,SOUTHWELL,SOUTHWELL
ZU45,ZU,,SPORTSMAN'S PARK,SPORTSMAN'S PARK
ZB04,ZB,,STERREBEEK,STERREBEEK
0907,FR,FR,STRASBOURG,STRASBOURG
ZG47,ZG,,STRATFORD,STRATFORD
ZN06,ZN,,STROMSHOLM,STROMSHOLM
ZU33,ZU,,SUFFOLK,SUFFOLK
ZA22,ZA,,SUNSHINE COAST,SUNSHINE COAST
ZL17,ZL,,SYRACUSE,SYRACUSE
ZN04,ZN,,TABY,TABY
ZL21,ZL,,TAGLIACOZZO,TAGLIACOZZO
ZJ14,ZJ,,TAKASAKI,TAKASAKI
ZU27,ZU,,TAMPA-BAY,TAMPA-BAY
0552,FR,FR,TARBES,TARBES
ZSA6,ZS,,TARUMA (BRZ),TARUMA (BRZ)
ZG48,ZG,,TAUNTON,TAUNTON
ZU79,ZU,,THE PLAINS,THE PLAINS
ZG49,ZG,,THIRSK,THIRSK
ZU44,ZU,,THISTLEDOWN,THISTLEDOWN
0719,FR,FR,THOISSEY,THOISSEY
0243,FR,FR,THOUARCE,THOUARCE
0157,FR,FR,THOUARS,THOUARS
ZI13,ZI,,THURLES,THURLES
ZU63,ZU,,TIMONIUM,TIMONIUM
ZI04,ZI,,TIPPERARY,TIPPERARY
ZQ05,ZQ,,TOCHOVICE (REP.TCHEQUE),TOCHOVICE (REP.TCHEQUE)
ZJ05,ZJ,,TOKYO,TOKYO
0545,FR,FR,TOULOUSE,TOULOUSE
0555,FR,FR,TOULOUSE MIDI,TOULOUSE MIDI
0244,FR,FR,TOURS,TOURS
ZG50,ZG,,TOWCESTER,TOWCESTER
ZI14,ZI,,TRALEE,TRALEE
ZI23,ZI,,TRAMORE,TRAMORE
ZL12,ZL,,TREVISE,TREVISE
ZU68,ZU,,TRYON,TRYON
ZF05,ZF,,TUNIS,TUNIS
ZF12,ZF,,TURFFONTEIN,TURFFONTEIN
ZU28,ZU,,TURF-PARADISE,TURF-PARADISE
ZU38,ZU,,TURFWAY-PARK,TURFWAY-PARK
ZL10,ZL,,TURIN,TURIN
ZU52,ZU,,UNIONVILLE,UNIONVILLE
ZJ19,ZJ,,URAWA,URAWA
ZG51,ZG,,UTTOXETER,UTTOXETER
ZF18,ZF,,VAAL,VAAL
ZE04,ZE,,VALENCE,VALENCE
ZS89,ZS,,VALPARAISO SPORTING CLUB,VALPARAISO SPORTING CLUB
0158,FR,FR,VANNES,VANNES
ZL11,ZL,,VARESE,VARESE
ZP01,ZP,,VARSOVIE,VARSOVIE
ZT03,ZT,,VELIEFENDI,VELIEFENDI
ZT88,ZT,,VELIEFENDI (TURQ.),VELIEFENDI (TURQ.)
2058,FR,FR,VENACO,VENACO
ZD24,ZD,,VERDEN,VERDEN
0414,FR,FR,VERNON,VERNON
0159,FR,FR,VERTOU,VERTOU
0904,FR,FR,VESOUL,VESOUL
0546,FR,FR,VIC-BIGORRE,VIC-BIGORRE
0547,FR,FR,VIC-FEZENSAC,VIC-FEZENSAC
0720,FR,FR,VICHY,VICHY
0726,FR,FR,VICHY MIDI,VICHY MIDI
0727,FR,FR,VICHY SOIR,VICHY SOIR
ZR98,ZR,,VIENNE,VIENNE
ZE06,ZE,,VILA-SECA,VILA-SECA
0548,FR,FR,VILLENEUVE-DE-MARSAN,VILLENEUVE-DE-MARSAN
0549,FR,FR,VILLENEUVE-SUR-LOT,VILLENEUVE-SUR-LOT
0321,FR,FR,VIMOUTIERS,VIMOUTIERS
0099,FR,FR,VINCENNES,VINCENNES
0322,FR,FR,VIRE,VIRE
0160,FR,FR,VITRE,VITRE
0721,FR,FR,VITTEAUX,VITTEAUX
0906,FR,FR,VITTEL,VITTEL
0623,FR,FR,VIVAUX MIDI,VIVAUX MIDI
ZD38,ZD,,WALLDORF,WALLDORF
ZB05,ZB,,WAREGEM,WAREGEM
ZD43,ZD,,WARENDORF,WARENDORF
ZG53,ZG,,WARWICK,WARWICK
ZA09,ZA,,WARWICK FARM,WARWICK FARM
ZG55,ZG,,WETHERBY,WETHERBY
ZI24,ZI,,WEXFORD,WEXFORD
ZD36,ZD,,WILDESHAUSEN,WILDESHAUSEN
ZG56,ZG,,WINCANTON,WINCANTON
ZG54,ZG,,WINDSOR,WINDSOR
0905,FR,FR,WISSEMBOURG,WISSEMBOURG
ZG58,ZG,,WOLVERHAMPTON,WOLVERHAMPTON
ZC01,ZC,,WOODBINE,WOODBINE
ZG57,ZG,,WORCESTER,WORCESTER
ZU34,ZU,,YAKIMA,YAKIMA
ZG59,ZG,,YARMOUTH,YARMOUTH
ZG60,ZG,,YORK,YORK
ZH09,ZH,,YVERDON,YVERDON
0435,FR,FR,YVETOT,YVETOT
2059,FR,FR,ZONZA,ZONZA
ZH04,ZH,,ZURICH DIELSDORF,ZURICH DIELSDORF
ZD29,ZD,,ZWEIBRUCKEN,ZWEIBRUCKEN
