競馬場ID,国名ID,国名,エリア,競馬場ID
ESK ,AUS,AUS,QLD,Esk
E BY,AUS,AUS,WA,Esperance
EWAN,AUS,AUS,QLD,Ewan
EXMO,AUS,AUS,WA,Exmouth
FERN,AUS,AUS,NSW,Fernhill
FITZ,AUS,AUS,WA,Fitzroy
FLEM,AUS,AUS,VIC,Flemington
FLIN,AUS,AUS,QLD,Flinton
FORB,AUS,AUS,NSW,Forbes
GATT,AUS,AUS,QLD,Gatton
GAWL,AUS,AUS,SA,Gawler
GAYN,AUS,AUS,QLD,Gayndah
GTWN,AUS,AUS,QLD,Georgetown
GTON,AUS,AUS,WA,Geraldton
GEUR,AUS,AUS,NSW,Geurie
GILG,AUS,AUS,NSW,Gilgandra
GLAD,AUS,AUS,QLD,Gladstone
GL I,AUS,AUS,NSW,Glen Innes
GOON,AUS,AUS,QLD,Goondiwindi
GORD,AUS,AUS,QLD,Gordonvale
GOSF,AUS,AUS,NSW,Gosford
GOUL,AUS,AUS,NSW,Goulburn
GRAF,AUS,AUS,NSW,Grafton
GR W,AUS,AUS,VIC,Great Western
GR D,AUS,AUS,QLD,Gregory Downs
GREN,AUS,AUS,NSW,Grenfell
GRIF,AUS,AUS,NSW,Griffith
GBNE,AUS,AUS,NSW,Gulargambone
GULG,AUS,AUS,NSW,Gulgong
GBWR,AUS,AUS,VIC,Gunbower
GUND,AUS,AUS,NSW,Gundagai
GUNN,AUS,AUS,NSW,Gunnedah
GYMP,AUS,AUS,QLD,Gympie
HTON,AUS,AUS,VIC,Hamilton
H RK,AUS,AUS,VIC,Hanging Rock
HRDN,AUS,AUS,NSW,Harden
HKER,AUS,AUS,SA,Hawker
HAWK,AUS,AUS,NSW,Hawkesbury
HWKI,AUS,AUS,NSW,Hawkesbury Inner
HAY ,AUS,AUS,NSW,Hay
HEAL,AUS,AUS,VIC,Healesville
HEBL,AUS,AUS,QLD,Hebel
HILL,AUS,AUS,NSW,Hillston
HMJE,AUS,AUS,VIC,Hinnomunjie
HOB ,AUS,AUS,TAS,Hobart
HOBI,AUS,AUS,TAS,Hobart Inside Track
HOLB,AUS,AUS,NSW,Holbrook
HOME,AUS,AUS,QLD,Home Hill
HSHM,AUS,AUS,VIC,Horsham
HUGH,AUS,AUS,QLD,Hughenden
ILFR,AUS,AUS,QLD,Ilfracombe
INGH,AUS,AUS,QLD,Ingham
INJU,AUS,AUS,QLD,Injune
INNI,AUS,AUS,QLD,Innisfail
INVL,AUS,AUS,NSW,Inverell
IPSW,AUS,AUS,QLD,Ipswich
ISIS,AUS,AUS,QLD,Isisford
JTWN,AUS,AUS,SA,Jamestown
JAND,AUS,AUS,QLD,Jandowae
JCHO,AUS,AUS,QLD,Jericho
JER ,AUS,AUS,NSW,Jerilderie
J CK,AUS,AUS,QLD,Julia Creek
JUNC,AUS,AUS,WA,Junction
JUND,AUS,AUS,QLD,Jundah
KALG,AUS,AUS,WA,Kalgoorlie
KATH,AUS,AUS,NT,Katherine
K GR,AUS,AUS,NSW,Kembla Grange
KEMP,AUS,AUS,NSW,Kempsey
KENS,AUS,AUS,NSW,Kensington
KRNG,AUS,AUS,VIC,Kerang
KCOY,AUS,AUS,QLD,Kilcoy
KIMB,AUS,AUS,SA,Kimba
H CK,AUS,AUS,WA,Kimberley
K IS,AUS,AUS,TAS,King Island
KCTE,AUS,AUS,SA,Kingscote
KOJO,AUS,AUS,WA,Kojonup
KUMB,AUS,AUS,QLD,Kumbia
KNRA,AUS,AUS,WA,Kununurra
SANH,AUS,AUS,VIC,Hillside
SANL,AUS,AUS,VIC,Lakeside
ALSP,AUS,AUS,NT,Pioneer Park
LDOR,AUS,AUS,WA,Landor
LARK,AUS,AUS,WA,Lark Hill
LMAH,AUS,AUS,NT,Larrimah
LAUN,AUS,AUS,TAS,Launceston
Code,AUS,AUS,Area,Track Name
LURA,AUS,AUS,QLD,Laura (Q)
LAUR,AUS,AUS,SA,Laura (SA)
LTON,AUS,AUS,WA,Laverton
LEET,AUS,AUS,NSW,Leeton
LEIN,AUS,AUS,WA,Leinster
LEON,AUS,AUS,WA,Leonora
L RG,AUS,AUS,NSW,Lightning Ridge
LISM,AUS,AUS,NSW,Lismore
LOCK,AUS,AUS,SA,Lock
LKHT,AUS,AUS,NSW,Lockhart
LFRD,AUS,AUS,TAS,Longford
LRCH,AUS,AUS,QLD,Longreach
LTH ,AUS,AUS,NSW,Louth
MKAY,AUS,AUS,QLD,Mackay
MLWA,AUS,AUS,NSW,Mallawa
MTNG,AUS,AUS,VIC,Manangatang
MANS,AUS,AUS,VIC,Mansfield
MARB,AUS,AUS,WA,Marble Bar
MRBA,AUS,AUS,QLD,Mareeba
MATR,AUS,AUS,NT,Mataranka
MAXW,AUS,AUS,QLD,Maxwelton
MACK,AUS,AUS,QLD,McKinlay
MEEK,AUS,AUS,WA,Meekatharra
MEND,AUS,AUS,NSW,Mendooran
MERR,AUS,AUS,NSW,Merriwa
MERT,AUS,AUS,VIC,Merton
MIDD,AUS,AUS,QLD,Middlemount
MILS,AUS,AUS,QLD,Miles
MILL,AUS,AUS,SA,Millicent
HDON,AUS,AUS,SA,Mindarie-Halidon
MING,AUS,AUS,QLD,Mingela
MNEW,AUS,AUS,WA,Mingenew
MICH,AUS,AUS,QLD,Mitchell
MOAM,AUS,AUS,NSW,Moama
MOE ,AUS,AUS,VIC,Moe
MONT,AUS,AUS,QLD,Monto
MOOR,AUS,AUS,WA,Moora
MBAH,AUS,AUS,QLD,Moranbah
MREE,AUS,AUS,NSW,Moree
MORN,AUS,AUS,VIC,Mornington
MORP,AUS,AUS,SA,Morphettville
MRPK,AUS,AUS,SA,Morphettville Parks
MORT,AUS,AUS,VIC,Mortlake
MRYA,AUS,AUS,NSW,Moruya
MORV,AUS,AUS,QLD,Morven
MOUL,AUS,AUS,NSW,Moulamein
MT B,AUS,AUS,WA,Mount Barker
MT G,AUS,AUS,SA,Mount Gambier
M GT,AUS,AUS,QLD,Mount Garnet
MT I,AUS,AUS,QLD,Mount Isa
MT M,AUS,AUS,WA,Mount Magnet
MT P,AUS,AUS,QLD,Mount Perry
MDGE,AUS,AUS,NSW,Mudgee
MGRY,AUS,AUS,NSW,Mungery
MNGI,AUS,AUS,NSW,Mungindi
M BR,AUS,AUS,SA,Murray Bridge (Not Used)
MUBR,AUS,AUS,SA,Murray Bridge GH
MURT,AUS,AUS,VIC,Murtoa
MWBH,AUS,AUS,NSW,Murwillumbah
MWBK,AUS,AUS,NSW,Muswellbrook
MUTT,AUS,AUS,QLD,Muttaburra
NNGO,AUS,AUS,QLD,Nanango
NARA,AUS,AUS,SA,Naracoorte
NBRI,AUS,AUS,NSW,Narrabri
NARR,AUS,AUS,NSW,Narrandera
NGIN,AUS,AUS,WA,Narrogin
NMNE,AUS,AUS,NSW,Narromine
NCLE,AUS,AUS,NSW,Newcastle
NMAN,AUS,AUS,WA,Newman
NHIL,AUS,AUS,VIC,Nhill
NDRA,AUS,AUS,VIC,Nine Dragons
NOCC,AUS,AUS,QLD,Noccundra
NOOR,AUS,AUS,QLD,Noorama
NORM,AUS,AUS,QLD,Normanton
NORS,AUS,AUS,WA,Norseman
NTHM,AUS,AUS,WA,Northam
NOWR,AUS,AUS,NSW,Nowra
NYNG,AUS,AUS,NSW,Nyngan
O PK,AUS,AUS,QLD,Oak Park
OAKB,AUS,AUS,SA,Oakbank
OAKY,AUS,AUS,QLD,Oakey
OKLY,AUS,AUS,QLD,Oakley
ORAN,AUS,AUS,NSW,Orange
PAK ,AUS,AUS,VIC,Pakenham
PRKS,AUS,AUS,NSW,Parkes
PNLA,AUS,AUS,SA,Penola
PNNG,AUS,AUS,SA,Penong
PENS,AUS,AUS,VIC,Penshurst
PENT,AUS,AUS,QLD,Pentland
P CK,AUS,AUS,NT,Pine Creek
PING,AUS,AUS,WA,Pingrup
PINJ,AUS,AUS,WA,Pinjarra Park
PINS,AUS,AUS,WA,Pinjarra Scarpside
POON,AUS,AUS,NSW,Pooncarie
PT A,AUS,AUS,SA,Port Augusta
PT H,AUS,AUS,WA,Port Hedland
PT L,AUS,AUS,SA,Port Lincoln
P MQ,AUS,AUS,NSW,Port Macquarie
PT P,AUS,AUS,SA,Port Pirie
PRRE,AUS,AUS,QLD,Prairie
QUAB,AUS,AUS,NSW,Quambone
QUAM,AUS,AUS,QLD,Quamby
QBYN,AUS,AUS,NSW,Queanbeyan
QUIL,AUS,AUS,QLD,Quilpie
QUIR,AUS,AUS,NSW,Quirindi
QORN,AUS,AUS,SA,Quorn
RENN,AUS,AUS,NT,Renner
RICH,AUS,AUS,QLD,Richmond
RIDG,AUS,AUS,QLD,Ridgelands
ROCK,AUS,AUS,QLD,Rockhampton
ROHS,AUS,AUS,QLD,Rockhampton Sand Track
